,H2SO4,HCOOH,CCO_OH,RCO_OH,CCO_OOH,RCO_OOH,XN,XC,SO2,O1D,ALK1,BACL,PAN,PAN2,PBZN,MA_PAN,H2O2,N2O5,HONO,ALK2,ALK3,TBU_O,ALK5,ARO2,HNO4,COOH,HOCOO,BZNO2_O,MEOH,ALK4,ARO1,DCB2,DCB3,CRES,DCB1,NPHE,ROOH,BALD,PHEN,CO,MGLY,ACET,HNO3,ETHENE,GLY,BZ_O,ISOPRENE,R2O2,TERP,METHACRO,OLE1,ISOPROD,OLE2,MVK,CCHO,HCHO,RNO3,O3P,RCHO,MEK,PROD2,O3,HO2,RO2_N,MA_RCO3,C_O2,BZCO_O2,RO2_R,NO,NO2,NO3,CCO_O2,RCO_O2,OH,Hours_from_origin
10,5955629947844.382,677615605275.9338,6831567529836.999,4185957621149.2134,5795936330120.057,3419432251864.8696,1946061099670.6218,11046527480529.887,280427144405.1411,2.4465455062122103,402680138819.4004,594081537.365489,2706006748744.771,1947803112810.6167,20532566039.756863,7350337553.5634,468257829692.90546,13616614346.789104,1130296373.1384895,184116495062.7365,83375836227.81197,1559.3811962527288,25854087860.272125,2053178362.6707888,19793642755.71044,72611569512.88428,313148.30428055004,3.297535306971595e-09,57896787967.479416,59511867796.45497,17235933877.149532,200464931.28715265,67458331.52837868,79524217.50250778,1563755813.61981,427755477.26381695,94445653575.01947,844708288.3120843,55107063.135675274,16803220771966.947,1875229808.3102221,1590091430818.3909,21097403080615.25,7055596931.519328,4949482416.486395,103017.73029676634,14907473.690057736,365614090.1503047,23285519.21783272,259522672.34666818,1374621146.128542,32079210.103151467,351600018.40941215,62078736.11126705,127428322222.1593,253240174024.2913,25258705563.006508,356444.17154971533,79448110082.66814,164594118699.0771,17677613594.030792,28393339704919.496,2802209124.155657,65162975.31556208,590758.6135204788,1121342441.9002435,1286924.7037174888,960040327.792323,9076218085.29751,498455238666.4434,1204926999.1503947,368114354.7630008,192324867.59283713,39563891.510827065,11
11,5994261042483.459,682100345475.0289,6869194701651.588,4206670996815.1895,5834227978930.358,3439616472958.5327,1960093819715.8655,11089728086955.73,280057554287.05084,2.4522315137725528,401793852826.6799,594066333.0503052,2712813730323.9487,1949390480397.1824,20598518458.15485,7372912319.809169,466684302422.9806,13782649997.837801,1134616842.0936522,183877971275.59808,83278373145.85135,1559.1516691135134,25825649645.081276,2050950733.209032,19879106488.378086,72260626451.44958,312459.19853680744,3.2810328536028586e-09,57761432727.12551,59444829873.69342,17216740763.445038,200326897.05859903,67432827.73585911,79038231.11889555,1561970672.2078674,425146744.3523013,93954752763.98772,843724878.7015519,54794903.743271954,16779607713015.496,1873254774.5340352,1586770976209.7566,21260504148957.098,7046719854.379814,4944629486.77757,102502.77332446013,14876575.10040316,364952336.5770161,23178647.988240037,259194352.7618874,1372721608.06657,32035676.60485674,350747083.1721005,62046686.55209163,127139846096.38025,252986393248.11432,25279996602.7194,357540.5723416551,79153112950.44145,164457263425.5082,17655865769.898453,28459328562844.516,2798850994.3432612,65065148.307019666,589312.1690497274,1118468268.7866151,1283951.2726389167,957138879.5172635,9106824925.996078,501209134609.2405,1212917870.536349,367010362.4502719,191422782.11263078,39606550.33683147,12
12,6032882862273.975,686585160847.3811,6906629882493.026,4227250669181.0806,5872358924508.076,3459682364661.14,1974133453721.5598,11132948166299.348,279697239017.5278,2.4579039281105186,400924319701.75134,594051271.1393676,2719594495351.596,1950952404484.7615,20664348827.58733,7395449387.399021,465117415809.991,13949834482.330227,1138916511.3586304,183645470802.35205,83183521410.46611,1558.9233693993476,25798001097.43693,2048785454.7040145,19964286619.18836,71912893442.45656,311774.55170480814,3.264675191868245e-09,57628594015.68562,59379627701.974686,17198076788.94114,200192536.59283647,67407979.83194633,78558143.95647326,1560232674.1131747,422569771.981438,93468862785.46773,842764840.7043045,54486400.80238168,16756051393149.982,1871329678.9029214,1583499132741.1653,21423622433158.926,7038043243.718435,4939900460.782325,101992.32497467884,14846119.719643706,364293899.61805373,23072891.790926557,258873873.10687643,1370859232.7145395,31993018.20741321,349902839.24939555,62016316.61892834,126855768776.1248,252737927329.40463,25301849481.725502,358636.09480696206,78861645260.60286,164325269283.14362,17634696224.3484,28525159664866.895,2795467296.0709968,64967870.27450999,587873.7749844415,1115605001.3302908,1280992.3846570167,954253856.1159308,9137412749.225483,503967078038.01495,1220912146.928562,365911961.06462234,190526544.2575523,39648098.22379127,13
13,6071495496026.529,691070073006.0518,6943874312052.212,4247697735208.5728,5910329680517.38,3479630582257.1226,1988179961352.5508,11176187627936.178,279346109785.9627,2.4635625531295924,400071404416.693,594036351.0958182,2726348834228.407,1952488957804.5918,20730054333.386044,7417947796.966065,463557357415.033,14118165024.067242,1143195254.1490474,183418938509.50867,83091256585.99614,1558.6963158762505,25771134613.02803,2046681923.2630382,20049184029.9532,71568343733.49284,311094.40026097937,3.248460744389923e-09,57498237710.5614,59316243786.55036,17179936885.109547,200061822.86031887,67383784.13177955,78083869.42039639,1558541363.7002606,420024087.665892,92987933720.73952,841827958.3630487,54181502.80267485,16732564710283.285,1869454081.0573797,1580275886281.0178,21586758220048.156,7029565124.438671,4935294385.717091,101486.33628058151,14816102.444209961,363638752.0807718,22968237.20005976,258561154.72096163,1369033645.3937912,31951226.5997782,349067203.433179,61987609.84460071,126576044253.20975,252494734634.63547,25324260504.563824,359730.7070210276,78573672631.76399,164198096528.71606,17614099046.139523,28590830735206.41,2792058955.471434,64871130.39710019,586443.3244098257,1112752535.2412117,1278047.8440121878,951385087.8120661,9167981758.819866,506729013339.22546,1228909474.4022875,364819099.1938847,189636108.9013704,39688539.558992475,14
14,6110099032758.37,695555103504.398,6980929220690.603,4268013282583.0605,5948140768813.6045,3499461783214.1074,2002233302438.1758,11219446381448.05,279004077575.1115,2.46920720604264,399234970677.048,594021572.204904,2733076565780.3257,1954000234359.443,20795632253.083366,7440406620.44658,462004305888.6962,14287638895.480131,1147452952.2953012,183198318746.97638,83001553951.82074,1558.470525924219,25745042533.120678,2044639532.0306602,20133799723.31088,71226950781.38402,310418.7788115308,3.2323879414189342e-09,57370330334.307915,59254660466.64722,17162315939.999743,199934728.31568667,67360236.8034206,77615321.86665566,1556896281.8593972,417509224.0765323,92511915833.96469,840914013.2641625,53880158.689296335,16709160078763.729,1867627535.474994,1577101206972.7434,21749911744926.14,7021283504.7913065,4930810288.188558,100984.75854133023,14786518.14580261,362986867.14230853,22864670.81745278,258256118.55744222,1367244468.62876,31910293.401310727,348240091.3669306,61960549.652841836,126300626821.52911,252256773672.908,25347225797.64065,360824.3788859332,78289160741.20901,164075704619.98267,17594068284.940544,28656339652520.96,2788626884.7615848,64774918.070825495,585020.7120294583,1109910774.3294215,1275117.4581106333,948532410.6206508,9198532152.342785,509494886802.35706,1236909509.636908,363731728.1515106,188751432.5222507,39727879.10740871,15
15,6148693561757.926,700040273834.1827,7017795829818.501,4288198389948.3843,5985792719369.566,3519176627110.5493,2016293436974.7673,11262724336642.367,278671053096.54395,2.474837714417143,398414880959.5273,594006933.6466635,2739777535886.327,1955486347984.3716,20861079956.20745,7462824960.923606,460458431062.3311,14458253427.980906,1151689499.3104844,182983555352.0909,82914388513.43602,1558.2460147504044,25719717125.83781,2042657667.9978476,20218134839.811687,70888688121.2107,309747.7199624573,3.2164552176702848e-09,57244838998.90306,59194859908.30338,17145208792.813745,199811224.51095915,67337333.8288924,77152416.61139081,1555296964.8412173,415024719.5420227,92040759457.18733,840022784.345932,53582317.90941814,16685849439491.295,1865849590.080793,1573975049558.4053,21913083196449.527,7013196372.104786,4926447178.444427,100487.54315464309,14757361.670557976,362338217.6527936,22762179.295356967,257958684.91035712,1365491320.849096,31870210.141803194,347421417.7874584,61935119.25408134,126029471028.63687,252024003061.69077,25370741346.381847,361917.0818991664,78008075212.90062,163958052266.1149,17574597965.223038,28721684415655.98,2785171981.1645327,64679222.783201836,583605.8333332383,1107079628.4767656,1272201.035784718,945695664.5277596,9229064143.11838,512264647281.6418,1244911918.8117764,362649801.27114046,187872472.78670308,39766121.9848925,16
16,6187279172624.544,704525605421.8687,7054475352466.688,4308254127238.9575,6023286070363.539,3538775775646.2173,2030360325121.35,11306021403508.816,278346946750.9155,2.4804539184067216,397610996555.7389,593992434.8600869,2746451615737.808,1956947430781.2131,20926394902.63077,7485201951.731745,458919894242.4638,14630005846.244448,1155904790.237726,182774591665.09543,82829735020.9864,1558.0227968604474,25695150587.348843,2040735712.181787,20302190502.71978,70553529496.6547,309081.25475018326,3.2006610418152202e-09,57121731366.71804,59136824111.67216,17128610235.253878,199691282.43953428,67315071.00795434,76695070.11643061,1553742944.5182467,412570118.73535496,91574415279.54877,839154048.0522112,53287930.50660215,16662644270478.51,1864119785.8617625,1570897353679.0105,22076272718606.45,7005301693.247096,4922204047.741572,99994.64259462923,14728627.838927735,361692778.490631,22660749.36193038,257668773.30443662,1363773816.2736938,31830968.2462645,346611096.44694316,61911301.64353228,125762531598.01144,251796381327.0506,25394802965.791546,363008.78862584726,77730381718.52809,163845097455.99973,17555682084.572758,28786863169506.652,2781695132.694155,64584034.52380522,582198.5900756168,1104259021.477932,1269298.399332101,942874699.3449132,9259577861.518301,515038241292.90076,1252916374.8751755,361573277.07981646,186999190.19484064,39803273.68054979,17
17,6225855955250.826,709011119621.2032,7090968993621.944,4328181555888.05,6060621368059.889,3558259892545.9644,2044433927194.5317,11349337492227.658,278031668645.61884,2.48605566781168,396823177635.4695,593978074.9389862,2753098700193.3687,1958383631799.9285,20991574640.120518,7507536755.615266,457388848252.7347,14802893511.731771,1160098733.8711007,182571370580.0061,82747568019.00938,1557.8008845782972,25671335075.32792,2038873043.7539575,20385968018.606102,70221448727.72038,308419.4118444972,3.1850038749976277e-09,57000975617.40414,59080534958.84733,17112515028.17273,199574872.49420488,67293444.00938495,76243199.74150313,1552233750.2318969,410144971.40228003,91112834027.12907,838307578.7515664,52996946.981183626,16639555596913.285,1862437660.0301917,1567868044201.846,22239480414280.918,6997597423.163148,4918079873.093893,99506.00909817024,14700311.462190533,361050523.41630524,22560367.791838784,257386302.98554298,1362091567.4920015,31792559.072536178,345809040.4424421,61889079.73813819,125499763485.7432,251573867049.80066,25419406341.14561,364099.47344582004,77456045937.98854,163736797503.54645,17537314610.360886,28851874170935.574,2778197209.109085,64489343.2419036,580798.8824943212,1101448878.6665435,1266409.3674434554,940069366.0407695,9290073490.12917,517815619786.846,1260922561.8604074,360502114.25972295,186131545.4358131,39839339.997921996,18
18,6264423999844.6455,713496837709.4844,7127277950611.833,4347981729056.9185,6097799166763.477,3577629643499.7964,2058514203666.9573,11392672513148.084,277725128572.7897,2.491642822029226,396051283293.2485,593963852.9915867,2759718706358.8857,1959795115630.8772,21056616803.07569,7529828564.354848,455865437639.62933,14976913679.542933,1164271241.6546519,182373834561.91156,82667861855.68855,1557.5802889503548,25648262693.36535,2037069037.0477974,20469468677.788815,69892419757.99078,307762.2183747122,3.169482210606261e-09,56882540412.57778,59025974207.67979,17096917897.042192,199461964.4499551,67272448.34206887,75796724.050601,1550768907.9395132,407748834.1586616,90655966706.08586,837483149.0571263,52709318.49338601,16616594001360.99,1860802745.4352434,1564887031560.4443,22402706348153.117,6990081501.475247,4914073610.211992,99021.59589185675,14672407.341594387,360411427.6823938,22461021.46723348,257111192.82331672,1360444183.9162498,31754973.924216907,345015162.3325245,61868436.26873427,125241121860.99944,251356418822.66043,25444547021.014885,365189.11152765865,77185033587.91443,163633109113.18497,17519489509.808617,28916715788182.4,2774679069.525679,64395139.30686282,579406.616442312,1098649137.0566702,1263533.7708012175,937279523.7750119,9320551145.91871,520596731763.79846,1268930169.2240152,359436275.87832564,185269501.5620157,39874327.06549795,19
19,6302983396905.861,717982780880.5303,7163403413481.691,4367655691859.0586,6134820028762.299,3596885696097.8057,2072601115165.1514,11436026376778.85,277427236032.56067,2.4972152497598774,395295171610.4948,593949768.2557042,2766311572038.8,1961182061108.0378,21121519109.788486,7552076597.556958,454349798905.8821,15152063660.524832,1168422234.9105098,182181925692.2613,82590590718.4818,1557.3610194002226,25625925511.375122,2035323064.298968,20552693875.530632,69566416644.7724,307109.69925378484,3.154094548386516e-09,56766394871.79306,58973123522.51809,17081813542.25765,199352527.55165863,67252079.36565408,75355562.60588984,1549347941.4515772,405381269.1987477,90203764530.32,836680529.8047187,52424996.72732973,16593769633954.809,1859214569.7339714,1561954212097.172,22565950548708.605,6982751857.748262,4910184205.954227,98541.35640633563,14644910.273245506,359775466.3502528,22362697.342572734,256843361.2744743,1358831273.3131864,31718204.045779966,344229374.1675035,61849353.875897616,124986562145.37071,251143995151.84003,25470220432.187134,366277.6794498937,76917310413.25352,163533988404.19385,17502200724.43379,28981386497452.133,2771141557.163815,64301413.21046591,578021.69863835,1095859737.9054809,1260671.441756371,934505034.9200902,9351010956.424198,523381528365.1681,1276938895.542586,358375726.2995663,184413022.3657833,39908241.310759984,20
