,H2SO4,HCOOH,CCO_OH,RCO_OH,CCO_OOH,RCO_OOH,XN,XC,SO2,O1D,ALK1,BACL,PAN,PAN2,PBZN,MA_PAN,H2O2,N2O5,HONO,ALK2,ALK3,TBU_O,ALK5,ARO2,HNO4,COOH,HOCOO,BZNO2_O,MEOH,ALK4,ARO1,DCB2,DCB3,CRES,DCB1,NPHE,ROOH,BALD,PHEN,CO,MGLY,ACET,HNO3,ETHENE,GLY,BZ_O,ISOPRENE,R2O2,TERP,METHACRO,OLE1,ISOPROD,OLE2,MVK,CCHO,HCHO,RNO3,O3P,RCHO,MEK,PROD2,O3,HO2,RO2_N,MA_RCO3,C_O2,BZCO_O2,RO2_R,NO,NO2,NO3,CCO_O2,RCO_O2,OH,Hours_from_origin
10,7552326475929.336,723983302020.9188,9602469006875.922,6367286632891.867,6985904378764.846,4462512999582.195,1825586785338.2908,10748256132515.584,638261985299.4053,2.2820773359467426,499103783505.07294,759763920.577766,2634152822034.9023,2103825040566.4358,16588945749.87147,7005284291.914324,753292567657.5995,9016228869.440403,758676586.1385007,223575422205.23874,220475601092.27618,2476.1883299909714,40568710891.44794,4233831771.818033,16437219469.667347,163869185742.674,512683.62919904134,4.338366631186661e-09,115564579004.67572,120312767144.15303,21139976264.349365,242990717.38279602,79440062.15048712,116384781.66444254,2374635123.3510017,595657830.1415744,239676658919.51245,1154300267.8658142,66646599.98927648,26325096164576.508,2773212840.8460693,2470239740172.841,15280870397332.13,22786637920.184654,5597653403.894276,135493.18503047293,37005628.49411686,460627805.30246305,28776477.708172917,434226918.67725945,2777630530.1168137,51285615.73648186,425825413.3426272,110009762.2252329,249110767508.72894,384096771282.67236,34399317343.32838,319468.48182300804,175626458665.5885,332292671442.68225,31670893753.31235,26484607334468.85,3009657179.004096,78202380.96520439,763893.2808359121,1440056741.525887,1386379.393079269,1330292478.0790422,7238595293.612986,386516828765.5491,915307850.5643938,495211803.2913369,297466849.98721683,29753548.975881994,11
11,7607278695035.606,728791919034.8997,9667533836393.648,6408269233920.324,7041614153411.266,4496216092417.19,1838593270833.0127,10788781397445.748,636491357500.224,2.2865994308847406,498231281469.3835,759744778.8274481,2641204967646.874,2106927528921.6692,16639753753.832998,7024776588.78285,752423254388.6864,9119567957.351765,761788477.5942426,222978976099.63727,219890680550.28607,2475.748142182346,40468312774.47088,4223288227.681065,16512646095.8182,163384581228.91138,512229.6793210632,4.320551609700245e-09,115165043128.28319,120008748006.63339,21090024793.27042,242704576.57735044,79393840.54962143,115747059.86184245,2368943969.725331,592430617.9201441,238784454014.10312,1151867862.9499586,66298608.11536697,26338477800091.78,2768169314.280671,2468160911225.464,15398853325166.885,22734954803.97795,5587880515.924596,134937.7328106456,36904328.276949055,460009787.9502379,28659411.041689407,433154838.44400257,2771611916.86792,51185684.745086454,424797722.6947793,109782781.93737021,248430908169.1953,383646569755.4612,34363818321.892685,320292.51932170964,175042705519.30716,331476603377.1822,31584253931.006638,26537088425490.727,3009668387.174811,78082010.38492167,762456.0022559855,1437874458.0526056,1384150.633825033,1327358587.2995157,7260472052.210224,388416107543.70636,920981173.2376828,494328441.4890305,296647140.29131025,29813470.713165674,12
12,7662210205639.691,733599087407.6362,9732422022315.7,6449109719363.916,7097238439150.175,4529838231205.211,1851604788803.96,10829318597852.637,634741438203.2302,2.291113324534842,497359946280.2726,759725844.8043195,2648239702805.2793,2110008708568.016,16690500456.608583,7044247543.10531,751542878424.3774,9223618432.801414,764895030.6624336,222388964870.02362,219312090633.7902,2475.3148184860656,40368893588.20197,4212845871.502226,16587893920.887486,162902012508.37518,511772.16098250984,4.302875258767502e-09,114769791015.28616,119707733813.64569,21040597608.57956,242420925.9863701,79347993.10705024,115115835.67507574,2363309418.7077,589236272.4039047,237898162302.15884,1149457748.3317962,65954049.96567829,26350905974487.61,2763170661.498408,2466047415670.0127,15516850528444.492,22683740771.734257,5578208434.955872,134386.59064372687,36803925.81221661,459394997.70823526,28543338.25004078,432092638.0491288,2765651113.0340033,51086746.944248304,423777307.5052371,109558005.57321516,247756828488.1784,383199320207.7493,34329013272.721626,321116.05508810934,174463248873.9785,330671053896.9234,31498525347.49433,26589474336614.164,3009638608.1047964,77962671.05319226,761026.2006490689,1435699490.201222,1381931.2588853668,1324442934.0218635,7282332452.712828,390317909657.0559,926660951.9309644,493448458.1191878,295831315.8104319,29872934.039917555,13
13,7717121459341.84,738404840314.5629,9797134371725.986,6489808894621.299,7152776874894.922,4563379394452.482,1864621316220.709,10869867693564.32,633011775808.1711,2.295618903102958,496489878957.0273,759707112.647515,2655256673648.9473,2113068373065.4055,16741185260.909756,7063696943.502589,750651677336.4178,9328379498.834888,767996168.4473622,221805258745.74115,218739707393.32343,2474.888101726835,40270436909.57293,4202503087.499111,16662962455.001955,162421443301.75055,511311.12290517474,4.285335962197436e-09,114378737590.71527,119409667156.14696,20991687659.35686,242139745.34757048,79302517.56294267,114491016.28394173,2357730650.8197803,586074331.116101,237017677359.47327,1147069635.5358038,65612877.91331579,26362401535418.92,2758216385.4547696,2463900448609.059,15634862624891.012,22632988908.8872,5568635303.0194845,133839.70860850773,36704409.72916961,458783378.7763646,28428247.025553748,431040170.8014109,2759747407.930488,50988790.3194596,422764093.6383447,109335403.2081556,247088413308.9628,382754972720.5906,34294889595.882843,321939.0720449162,173888010693.71878,329875782506.5583,31413690873.300816,26641763747205.97,3009568453.3154206,77844342.87389025,759603.8107532666,1433531626.964664,1379721.2120749715,1321545161.0050895,7304176843.3291645,392222211599.80005,932347002.7844254,492571773.0461209,295019310.52492905,29931938.979442157,14
14,7772012888095.8545,743209209893.3488,9861671674229.352,6530367550860.336,7208229104430.349,4596839562642.866,1877642830128.812,10910428644269.27,631301938361.2458,2.300116057853243,495621177783.609,759688576.8784523,2662255545609.244,2116106333905.892,16791807543.442627,7083124568.597729,749749888340.1951,9433850334.642864,771091813.5189717,221227734240.2907,218173411435.3963,2474.467748091888,40172926931.72995,4192258318.61917,16737851251.073294,161942839506.7859,510846.6162649626,4.267932135560862e-09,113991800808.44739,119114492940.41812,20943288169.14787,241861015.3023124,79257411.78774276,113872510.8203476,2352206877.43844,582944340.7037606,236142897376.96988,1144703247.206367,65275045.31327091,26372984945921.355,2753306008.4399805,2461721177731.1797,15752890195079.156,22582692575.113163,5559159360.324795,133297.03773697093,36605768.92722578,458174877.55802596,28314125.289689813,429997295.80262065,2753900108.8716707,50891803.221816406,421758008.6071973,109114945.91542666,246425552326.01755,382313480523.4983,34261435234.149643,322761.5536952472,173316916278.6032,329090558717.9497,31329734021.27448,26693955395331.062,3009458528.687787,77727006.39051887,758188.767202344,1431370668.4017708,1377520.435122517,1318664924.9672592,7326005552.29713,394128989902.702,938039144.1910026,491698310.2335179,294211061.44360733,29990485.552797,15
15,7826884905305.34,748012227306.587,9926034702837.365,6570786465653.771,7263594776640.462,4630218718397.176,1890669307652.3506,10951001409534.48,629611512458.8499,2.3046046844957457,494753938391.9697,759670232.2182344,2669236002713.0,2119122419816.1282,16842366658.443937,7102530188.3039875,748837748017.4885,9540030107.850096,774181888.5300312,220656273757.17062,217613087704.61505,2474.0535254701335,40076348438.21099,4182110064.830942,16812559906.16402,161466169084.39795,510378.6942834294,4.2506622230770364e-09,113608901513.76874,118822158277.7367,20895392619.670727,241584717.27770287,79212673.75188823,113260230.33475217,2346737339.057246,579845856.728682,235273724911.85086,1142358316.4679093,64940506.506144516,26382676293011.574,2748439070.437102,2459510744099.0957,15870933783458.316,22532845390.85674,5549778938.616323,132758.52995290924,36507992.58407603,457569442.4354415,28200961.199017342,428963877.79400134,2748108541.444005,50795774.35758558,420758981.63243425,108896605.73226896,245768139892.30072,381874799807.90204,34228638639.733185,323583.4840918358,172749894076.4275,328315161500.797,31246638918.948288,26746048070655.07,3009309433.4007206,77610642.73976001,756781.004773231,1429216425.1806655,1375328.8672489175,1315801895.895689,7347818894.030216,396038221375.8408,943737196.7316264,490827997.6383516,293406508.5608375,30048573.77727726,16
16,7881737906857.663,752813922800.5375,9990224214738.82,6611066403538.523,7318873545695.37,4663516846605.643,1903700725999.3906,10991585948836.812,627940102213.6154,2.309084683063861,493888253838.8253,759652073.6824399,2676197747169.246,2122116476213.7427,16892861941.425766,7121913565.313788,747915492113.8367,9646917978.618132,777266316.6526705,220090765219.3921,217058625267.26678,2473.64521341932,39980686763.87007,4172056878.939327,16887088074.691113,160991401917.6498,509907.4122572235,4.233524693480028e-09,113229963308.0954,118532612366.00946,20847994732.991756,241310833.4324731,79168301.52445178,112654087.66076437,2341321303.4995537,576778443.120666,234410066621.77426,1140034586.2225895,64609216.73012443,26391495295931.434,2743615128.4295673,2457270262896.942,15988993899618.121,22483441219.708286,5540492455.672639,132224.13791830695,36411070.12654096,456967023.4501512,28088743.124302033,427939786.6190808,2742372047.3221264,50700692.76535326,419766943.42975605,108680355.58199897,245116074742.5325,381438889572.2521,34196488745.723587,324404.84785260994,172186875507.82098,327549378758.1013,31164390274.99311,26798040613018.914,3009121760.9245443,77495233.5901345,755380.4574411246,1427068716.951811,1373146.4446767042,1312955755.5945425,7369617173.173161,397949883286.02686,949440983.6085744,489960766.4362992,292605594.31395733,30106203.679140043,17
17,7936572272100.807,757614325760.502,10054240952092.332,6651208116583.4375,7374065071264.406,4696733934572.572,1916737062464.3054,11032182221583.547,626287328277.5605,2.3135559581483154,493024214677.5859,759634096.5058868,2683140498774.5273,2125088364582.6978,16943292712.317463,7141274456.185841,746983355412.668,9754513089.084032,780345021.2182252,219531101720.08032,216509917105.47363,2473.2426019678996,39885927768.3389,4162097364.194704,16961435448.744946,160518509725.17776,509432.8271852613,4.216518045189244e-09,112854912423.31975,118245806379.79517,20801088455.85508,241039346.5992505,79124293.25944608,112053997.41272265,2335958064.1943073,573741672.1994565,233551833095.9981,1137731808.4851868,64281132.13086577,26399461314062.867,2738833754.8456936,2455000824144.3877,16107071019432.393,22434474155.0409,5531298408.575189,131693.81520557712,36314991.22232733,456367572.571908,27977459.650534067,426924897.06734145,2736689984.217425,50606547.78724023,418781826.1509073,108466169.22687668,244469259776.8061,381005711407.063,34164974934.085743,325225.6301302978,171627794827.38083,326793006844.9018,31082973346.847332,26849931915151.633,3008896098.4990997,77380761.1668886,753987.0599470824,1424927373.6305673,1370973.1026343887,1310126198.3322465,7391400677.786369,399863953007.708,955150330.1009789,489096551.7122468,291808264.00291055,30163375.295448348,18
18,7991388364753.545,762413464762.5507,10118085642781.043,6691212344929.898,7429169018695.303,4729869972139.857,1929778294430.9033,11072790187130.197,624652826931.9121,2.318018418844612,492161909028.13293,759616296.1839861,2690063994319.412,2128037961844.9753,16993658278.219658,7160612612.394203,746041571496.9314,9862814568.826534,783417925.717652,218977181198.72803,215966859934.66904,2472.845491336261,39792057809.01405,4152230171.8571496,17035601764.720114,160047465951.55615,508954.997778616,4.199640801278776e-09,112483677603.60327,117961693375.03946,20754667946.730316,240770240.23303255,79080647.19495961,111459875.87304756,2330646938.912059,570735124.1324942,232698938628.4646,1135449743.8896546,63956209.6944723,26406593354548.863,2734094536.6958513,2452703493371.0635,16225165586072.342,22385938506.49207,5522195369.744787,131167.51613963314,36219745.76631039,455771043.46840656,27867099.562241364,425919088.51981056,2731061724.6336102,50513329.06296821,417803563.25086355,108254021.23498984,243827601841.13055,380575229388.934,34134087010.209522,326045.81662610517,171072588955.3412,326045850110.95404,31002373918.399437,26901720922061.816,3008633027.6939173,77267208.212913,752600.7470370843,1422792234.0755854,1368808.7744404627,1307312929.6815581,7413169681.737883,401780408138.5066,960865063.9797665,488235291.8153762,291014465.34169686,30220088.682233974,19
19,8046186533760.869,767211367622.25,10181759001123.154,6731079817306.141,7484185059176.294,4762924951800.708,1942824399374.7673,11113409804803.559,623036249231.6775,2.322471978676074,491301422642.10596,759598668.327453,2696967987050.801,2130965159782.79,17043957936.266947,7179927781.436844,745090372584.8357,9971821548.29533,786484954.7137012,218428906135.16043,215429354029.7422,2472.4536911536816,39699063715.42164,4142453999.0406294,17109586812.610554,159578245661.87213,508473.98407273507,4.182891508913953e-09,112116189993.19952,117680228193.31963,20708727561.841335,240503498.32818574,79037361.63344167,110871640.97012386,2325387268.304675,567758386.8269937,231851301023.28668,1133188161.141408,63634407.24729961,26412910079625.25,2729397074.4763,2450379312265.5576,16343278011267.557,22337828787.897255,5513181981.192797,130645.1957941803,36125323.87440868,455177391.3406949,27757651.848774187,424922244.7324541,2725486655.4701777,50421026.50839999,416832089.4853877,108043886.9210623,243191011542.5554,380147409875.25116,34103815177.2007,326865.3936270943,170521197343.3222,325307720477.8855,30922578272.852745,26953406630145.1,3008333123.817727,77154557.9501768,751221.4532773917,1420663145.5223312,1366653.3915813481,1304515665.950579,7434924450.206654,403699226786.1141,966585015.8080697,487376928.20927817,290224148.4024744,30276343.920146503,20
